Compute Units: Running Time and Stalls
Compute Unit, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
mmul_1,2.317,0.000,4.173,0.000

Functions: Running Time and Stalls
Compute Unit, Function, Running Time (us), Intra-Kernel Dataflow Stalls (%), External Memory Stalls (%), External Stream Stalls (%)
mmul_1,entry_proc_U0,0.003,0.000,0.000,0.000
mmul_1,read_input_U0,1.104,0.000,0.000,0.000
mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,0.860,0.000,0.000,0.000
mmul_1,read_input_1_U0,1.104,0.000,0.000,0.000
mmul_1,compute_mm_U0,2.080,0.000,0.000,0.000
mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,1.100,0.000,0.000,0.000
mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_32_3_VITIS_LOOP_33_4_fu_44,0.970,0.000,0.000,0.000
mmul_1,write_result_U0,2.314,0.000,4.173,0.000
mmul_1,write_result_U0/grp_write_result_Pipeline_mem_wr_fu_73,2.077,0.000,4.173,0.000

Compute Units: Port Data Transfer
Compute Unit, Port, Write Time (us), Outstanding Write (%), Read Time (us), Outstanding Read (%)
mmul_1,m_axi_gmem0,1.017,43.885,0.864,37.266
mmul_1,m_axi_gmem1,0.000,0.000,0.867,37.410

