Kernel trace events
Device, Binary, Kernel, Compute Unit, Function, Data Type, Index, Start Time (ms), End Time (ms), Value
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,top,top,0,0.282095,0.284412,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,outstanding,0,0.000000,0.282095,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,outstanding,0,0.282095,0.282098,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,outstanding,0,0.282098,0.282098,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,row,0,0.000000,0.282095,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,row,0,0.282095,0.282098,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,entry_proc_U0,row,0,0.282098,0.282098,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,outstanding,0,0.000000,0.282095,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,outstanding,0,0.282095,0.283198,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,outstanding,0,0.283198,0.283198,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,row,0,0.000000,0.282095,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,row,0,0.282095,0.283198,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0,row,0,0.283198,0.283198,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,outstanding,0,0.000000,0.282338,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,outstanding,0,0.282338,0.283198,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,outstanding,0,0.283198,0.283198,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,row,0,0.000000,0.282338,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,row,0,0.282338,0.283198,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_U0/grp_read_input_Pipeline_mem_rd_fu_82,row,0,0.283198,0.283198,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,outstanding,0,0.000000,0.282095,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,outstanding,0,0.282095,0.283198,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,outstanding,0,0.283198,0.283198,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,row,0,0.000000,0.282095,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,row,0,0.282095,0.283198,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,read_input_1_U0,row,0,0.283198,0.283198,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,outstanding,0,0.000000,0.282098,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,outstanding,0,0.282098,0.284178,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,outstanding,0,0.284178,0.284178,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,row,0,0.000000,0.282098,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,row,0,0.282098,0.284178,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0,row,0,0.284178,0.284178,65535
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,outstanding,0,0.000000,0.282101,0
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,outstanding,0,0.282101,0.283202,1
xilinx_u250_gen3x16_xdma_4_1_202210_1-0,mmul.link,mmul,mmul_1,compute_mm_U0/grp_compute_mm_Pipeline_VITIS_LOOP_25_1_VITIS_LOOP_26_2_fu_32,outstanding,0,0.283202,0.283202,0
